"GOBPID"	"Pvalue"	"OddsRatio"	"ExpCount"	"Count"	"Size"	"Term"
"1"	"GO:0051301"	1.29218918007859e-09	12.6136724960254	1.51415094339623	13	642	"cell division"
"2"	"GO:0000280"	1.65715147266915e-09	13.8479532163743	1.23820754716981	12	525	"nuclear division"
"3"	"GO:0048285"	3.43277042886372e-09	12.9351175993512	1.32075471698113	12	560	"organelle fission"
"4"	"GO:0022402"	1.06946093811198e-08	8.36210150646855	3.02594339622642	16	1283	"cell cycle process"
"5"	"GO:0007067"	2.39910292591486e-08	14.0203761755486	0.957547169811321	10	406	"mitotic nuclear division"
"6"	"GO:1903047"	3.24545800347404e-08	9.47400241837969	1.9811320754717	13	840	"mitotic cell cycle process"
"7"	"GO:0000278"	3.2484253085593e-08	8.72474371859296	2.37971698113208	14	1009	"mitotic cell cycle"
"8"	"GO:0007049"	8.12398594974528e-08	6.81066464766643	4.00471698113208	17	1698	"cell cycle"
"9"	"GO:0000075"	1.55912965452149e-06	14.817578125	0.582547169811321	7	247	"cell cycle checkpoint"
"10"	"GO:0007093"	3.14856082413924e-06	17.5664335664336	0.412735849056604	6	175	"mitotic cell cycle checkpoint"
"11"	"GO:0000086"	4.61765724656118e-06	16.3897538925163	0.441037735849057	6	187	"G2/M transition of mitotic cell cycle"
"12"	"GO:0044839"	5.21593993749543e-06	16.0314496314496	0.450471698113208	6	191	"cell cycle G2/M phase transition"
"13"	"GO:0031145"	5.46501348250141e-06	23.1801470588235	0.257075471698113	5	109	"anaphase-promoting complex-dependent proteasomal ubiquitin-dependent protein catabolic process"
"14"	"GO:0042110"	6.24991626102664e-06	9.75908918406072	1.02122641509434	8	433	"T cell activation"
"15"	"GO:0070489"	6.24991626102664e-06	9.75908918406072	1.02122641509434	8	433	"T cell aggregation"
"16"	"GO:0071593"	6.35652486627626e-06	9.73557473875511	1.02358490566038	8	434	"lymphocyte aggregation"
"17"	"GO:0070486"	7.14690243906339e-06	9.57401475080087	1.04009433962264	8	441	"leukocyte aggregation"
"18"	"GO:0051726"	8.04319903669287e-06	6.50912825193975	2.24056603773585	11	950	"regulation of cell cycle"
"19"	"GO:0007051"	9.48267758974746e-06	20.5882352941176	0.287735849056604	5	122	"spindle organization"
"20"	"GO:0044772"	1.05203848696284e-05	9.0576692313122	1.09669811320755	8	465	"mitotic cell cycle phase transition"
"21"	"GO:0007159"	1.15478187217819e-05	8.93694697972549	1.11084905660377	8	471	"leukocyte cell-cell adhesion"
"22"	"GO:0007346"	1.15478187217819e-05	8.93694697972549	1.11084905660377	8	471	"regulation of mitotic cell cycle"
"23"	"GO:0044770"	1.51538536314003e-05	8.59285091543156	1.15330188679245	8	489	"cell cycle phase transition"
