"GOBPID"	"Pvalue"	"OddsRatio"	"ExpCount"	"Count"	"Size"	"Term"
"1"	"GO:0050852"	9.76249676109418e-10	239.970760233918	0.0575713594581519	5	119	"T cell receptor signaling pathway"
"2"	"GO:0050851"	3.3648753872458e-09	185.725623582766	0.0735365263667151	5	152	"antigen receptor-mediated signaling pathway"
"3"	"GO:0031295"	2.69466109276766e-08	231.788732394366	0.0362844702467344	4	75	"T cell costimulation"
"4"	"GO:0031294"	2.84381226128932e-08	228.555555555556	0.0367682631833575	4	76	"lymphocyte costimulation"
"5"	"GO:0002429"	1.63732246880973e-07	83.0923076923077	0.159651669085631	5	330	"immune response-activating cell surface receptor signaling pathway"
"6"	"GO:0042110"	6.31351861565246e-07	62.6947040498442	0.209482341557813	5	433	"T cell activation"
"7"	"GO:0070489"	6.31351861565246e-07	62.6947040498442	0.209482341557813	5	433	"T cell aggregation"
"8"	"GO:0071593"	6.38611679526193e-07	62.5446775446775	0.209966134494436	5	434	"lymphocyte aggregation"
"9"	"GO:0070486"	6.9130815846306e-07	61.5137614678899	0.213352685050798	5	441	"leukocyte aggregation"
"10"	"GO:0045058"	7.85485040606984e-07	260.368421052632	0.0198355104015481	3	41	"T cell selection"
"11"	"GO:0007159"	9.57637469532157e-07	57.4463519313305	0.227866473149492	5	471	"leukocyte cell-cell adhesion"
"12"	"GO:0002757"	1.01953502416616e-06	56.6949152542373	0.230769230769231	5	477	"immune response-activating signal transduction"
"13"	"GO:0050870"	1.23933742175142e-06	85.9894736842105	0.0938558297048863	4	194	"positive regulation of T cell activation"
"14"	"GO:0034109"	1.32548782330028e-06	53.6479250334672	0.243347847121432	5	503	"homotypic cell-cell adhesion"
"15"	"GO:0034112"	1.34455631182847e-06	84.1958762886598	0.0957910014513788	4	198	"positive regulation of homotypic cell-cell adhesion"
"16"	"GO:1903039"	1.3718691621886e-06	83.7589743589744	0.0962747943880019	4	199	"positive regulation of leukocyte cell-cell adhesion"
"17"	"GO:0002768"	1.50358620507759e-06	52.2407045009785	0.249637155297533	5	516	"immune response-regulating cell surface receptor signaling pathway"
"18"	"GO:0002253"	1.684355753649e-06	51.0038240917782	0.25544267053701	5	528	"activation of immune response"
"19"	"GO:0022409"	2.52892574712583e-06	71.4912280701754	0.112239961296565	4	232	"positive regulation of cell-cell adhesion"
"20"	"GO:0046649"	2.98578994458341e-06	45.1814058956916	0.286889211417513	5	593	"lymphocyte activation"
"21"	"GO:0051251"	3.14156823381667e-06	67.5809128630705	0.118529269472666	4	245	"positive regulation of lymphocyte activation"
"22"	"GO:0002696"	4.62175098608379e-06	61.1353383458647	0.130624092888244	4	270	"positive regulation of leukocyte activation"
"23"	"GO:0002764"	4.72521955352113e-06	40.9752321981424	0.314949201741655	5	651	"immune response-regulating signaling pathway"
"24"	"GO:0050778"	5.09269882653688e-06	40.3252032520325	0.319787131107886	5	661	"positive regulation of immune response"
"25"	"GO:0033077"	5.13903548750713e-06	135.246575342466	0.0367682631833575	3	76	"T cell differentiation in thymus"
"26"	"GO:0071594"	5.13903548750713e-06	135.246575342466	0.0367682631833575	3	76	"thymocyte aggregation"
"27"	"GO:0050867"	5.26401257321465e-06	59.1018181818182	0.134978229317852	4	279	"positive regulation of cell activation"
"28"	"GO:0050863"	5.415297179819e-06	58.6678700361011	0.135945815191098	4	281	"regulation of T cell activation"
"29"	"GO:1903037"	6.05294275316727e-06	56.9929824561404	0.139816158684083	4	289	"regulation of leukocyte cell-cell adhesion"
"30"	"GO:0045321"	6.51449519673226e-06	38.256038647343	0.336236090953072	5	695	"leukocyte activation"
"31"	"GO:0034110"	6.83516103803354e-06	55.2176870748299	0.144170295113691	4	298	"regulation of homotypic cell-cell adhesion"
"32"	"GO:0016337"	6.84273118235279e-06	37.8550932568149	0.339622641509434	5	702	"single organismal cell-cell adhesion"
"33"	"GO:0098602"	9.40040565686516e-06	35.3584229390681	0.362360909530721	5	749	"single organism cell adhesion"
"34"	"GO:0007155"	9.58976902557889e-06	32.0416961130742	0.687469762941461	6	1421	"cell adhesion"
"35"	"GO:0022610"	9.82914339935896e-06	31.8937368050669	0.6903725205612	6	1427	"biological adhesion"
"36"	"GO:0045785"	1.45908058641851e-05	45.296918767507	0.174649250120948	4	361	"positive regulation of cell adhesion"
"37"	"GO:0051249"	1.55711718189873e-05	44.5316804407714	0.177552007740687	4	367	"regulation of lymphocyte activation"
"38"	"GO:0022407"	1.60792475727251e-05	44.1584699453552	0.179003386550556	4	370	"regulation of cell-cell adhesion"
"39"	"GO:0098609"	1.94288003638722e-05	30.2160493827161	0.420416061925496	5	869	"cell-cell adhesion"
